Trade ID,Regime ID,Entry Type,Status,Buy Time,Buy Price,Grid Buy Price,Reference at Buy,Sell Target,Sell Time,Order Size (USDT),Portfolio Value at Buy,Order % of Portfolio,Portfolio Value at Sell,Net P&L,Holding Time
1,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,42000.0,42000.0,43000.0,2024-01-01 18:07:00+00:00,107.68932010807478,3000.0,0.03589644003602493,3022.225018524823,1.6056855125156488,0 days 18:07:00
2,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,43000.0,42000.0,44000.0,2024-01-01 23:28:00+00:00,105.18491731486372,2999.892310679892,0.03506289773816072,3052.5415276214817,4.050977972778853,0 days 23:28:00
3,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,44000.0,42000.0,45000.0,2024-01-02 00:57:00+00:00,102.79435101225319,2999.787125762577,0.03426721520651963,3080.3729767847294,6.385120775757329,1 days 00:57:00
4,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,45000.0,42000.0,46000.0,2024-01-08 18:04:00+00:00,100.51003210086978,2999.6843314115645,0.03350686972237931,3119.5715852109156,8.615523898603442,7 days 18:04:00
5,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,46000.0,42000.0,47000.0,2024-01-08 19:11:00+00:00,98.3250314030248,2999.5838213794636,0.032779557851397724,3142.599836335595,10.748952972630164,7 days 19:11:00
6,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,47000.0,42000.0,48000.0,2024-01-11 14:36:00+00:00,96.23300945827958,2999.4854963480607,0.0320831721225008,3178.2596504940375,12.791597830740841,10 days 14:36:00
7,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,48000.0,42000.0,49000.0,2024-02-12 15:10:00+00:00,94.22815509456542,2999.3892633386026,0.031415780621179064,3228.622858283568,14.749132486430284,42 days 15:10:00
8,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,49000.0,42000.0,50000.0,2024-02-12 17:19:00+00:00,92.30513152120695,2999.295035183508,0.030775609080938373,3244.828339572656,16.626767768418063,42 days 17:19:00
9,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,50000.0,42000.0,51000.0,2024-02-14 09:10:00+00:00,90.45902889078282,2999.2027300519867,0.030161025123238285,3260.817858266726,18.429297639126375,44 days 09:10:00
10,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,51000.0,42000.0,52000.0,2024-02-14 14:37:00+00:00,88.68532244194394,2999.1122710230957,0.029570524351090886,3272.7054073728127,20.161140063924506,44 days 14:37:00
11,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,52000.0,42000.0,53000.0,2024-02-26 16:07:00+00:00,86.97983547190655,2999.0235857006537,0.029002718046842468,3291.8945718467808,21.826373164691987,56 days 16:07:00
12,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,53000.0,42000.0,54000.0,2024-02-26 19:15:00+00:00,85.3387065007385,2998.936605865182,0.028456322262310242,3299.6319043193257,23.428767280524838,56 days 19:15:00
13,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,54000.0,42000.0,55000.0,2024-02-27 01:43:00+00:00,83.75836008405814,2998.8512671586814,0.027930148120822475,3305.353046859362,24.97181346614161,57 days 01:43:00
14,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,55000.0,42000.0,56000.0,2024-02-27 02:06:00+00:00,82.23548080980255,2998.767508798597,0.0274230931769528,3309.095335599463,26.458748881372387,57 days 02:06:00
15,0,INITIAL_SEED,CLOSED,2024-01-01 00:00:00+00:00,42283.58,56000.0,42000.0,57000.0,2024-02-27 02:08:00+00:00,80.76699008105608,2998.6852733177875,0.026934133701765357,3310.894749020761,27.892579460344862,57 days 02:08:00
16,0,GRID_BUY,CLOSED,2024-01-03 11:55:00+00:00,44000.0,44000.0,42000.0,45000.0,2024-01-08 12:03:00+00:00,106.96708851377154,3054.751532743706,0.03501662487675265,3094.1687186909894,2.2123832742389737,5 days 00:08:00
17,0,GRID_BUY,CLOSED,2024-01-03 12:01:00+00:00,43000.0,43000.0,42000.0,44000.0,2024-01-04 15:16:00+00:00,106.96708851377154,3026.703771251416,0.03534111581377027,3064.068462753871,2.2688067738710345,1 days 03:15:00
18,0,GRID_BUY,CLOSED,2024-01-03 12:08:00+00:00,42000.0,42000.0,42000.0,43000.0,2024-01-03 15:56:00+00:00,106.96708851377154,2996.170890656213,0.03570126418601707,3031.4240365503933,2.3279171068188873,0 days 03:48:00
19,0,GRID_BUY,CLOSED,2024-01-03 12:09:00+00:00,41000.0,41000.0,42000.0,42000.0,2024-01-03 12:15:00+00:00,106.96708851377154,2963.093721455647,0.0360997992534718,2998.5633009041912,2.389910870642254,0 days 00:06:00
20,0,GRID_BUY,CLOSED,2024-01-03 18:56:00+00:00,42000.0,42000.0,42000.0,43000.0,2024-01-03 19:35:00+00:00,106.96708851377154,3000.8887186336738,0.0356451366722037,3033.751953657212,2.3279171068188873,0 days 00:39:00
21,0,GRID_BUY,CLOSED,2024-01-05 01:48:00+00:00,43000.0,43000.0,42000.0,44000.0,2024-01-05 09:01:00+00:00,106.96708851377154,3036.018323109566,0.035232688715861625,3066.3372695277417,2.2688067738710345,0 days 07:13:00
22,1,GRID_BUY,CLOSED,2024-01-09 12:56:00+00:00,46000.0,46000.0,47000.0,47000.0,2024-01-09 13:53:00+00:00,106.96708851377154,3121.676213370523,0.034265913952131986,3144.7067321974782,2.106895861883416,0 days 00:57:00
23,1,GRID_BUY,CLOSED,2024-01-09 21:17:00+00:00,46000.0,46000.0,47000.0,47000.0,2024-01-10 23:03:00+00:00,106.96708851377154,3123.7831092324063,0.034242802644533187,3155.4474980021687,2.106895861883416,1 days 01:46:00
24,1,GRID_BUY,CLOSED,2024-01-09 21:25:00+00:00,45000.0,45000.0,47000.0,46000.0,2024-01-09 21:29:00+00:00,106.96708851377154,3100.5386562284234,0.03449951778504485,3125.9438444203843,2.158467485701678,0 days 00:04:00
25,1,GRID_BUY,CLOSED,2024-01-10 11:53:00+00:00,45000.0,45000.0,47000.0,46000.0,2024-01-10 17:41:00+00:00,106.96708851377154,3102.697123714125,0.03447551734786319,3128.1023119060865,2.158467485701678,0 days 05:48:00
26,1,GRID_BUY,CLOSED,2024-01-10 20:12:00+00:00,45000.0,45000.0,47000.0,46000.0,2024-01-10 20:15:00+00:00,106.96708851377154,3104.855591199827,0.034451550280454636,3130.2607793917878,2.158467485701678,0 days 00:03:00
27,1,GRID_BUY,CLOSED,2024-01-10 20:44:00+00:00,45000.0,45000.0,47000.0,46000.0,2024-01-10 20:57:00+00:00,106.96708851377154,3107.0140586855287,0.03442761651327245,3132.41924687749,2.158467485701678,0 days 00:13:00
28,1,GRID_BUY,CLOSED,2024-01-11 05:44:00+00:00,46000.0,46000.0,47000.0,47000.0,2024-01-11 11:17:00+00:00,106.96708851377154,3134.523875037097,0.0341254661882279,3157.554393864052,2.106895861883416,0 days 05:33:00
29,1,GRID_BUY,CLOSED,2024-01-11 15:42:00+00:00,47000.0,47000.0,47000.0,48000.0,2024-02-09 18:24:00+00:00,106.96708851377154,3159.6096965602715,0.033854525965729854,3208.133653056613,2.05751877524888,29 days 02:42:00
30,1,GRID_BUY,CLOSED,2024-01-11 16:16:00+00:00,46000.0,46000.0,47000.0,47000.0,2024-02-09 11:44:00+00:00,106.96708851377154,3138.688289674229,0.034080188486915304,3187.428396426628,2.106895861883416,28 days 19:28:00
31,1,GRID_BUY,CLOSED,2024-01-12 15:19:00+00:00,45000.0,45000.0,47000.0,46000.0,2024-02-09 02:45:00+00:00,106.96708851377154,3115.443836670246,0.03433446215743592,3164.4001453019487,2.158467485701678,27 days 11:26:00
32,1,GRID_BUY,CLOSED,2024-01-12 16:17:00+00:00,44000.0,44000.0,47000.0,45000.0,2024-02-08 13:58:00+00:00,106.96708851377154,3089.8247143012577,0.03461914458081529,3138.9972787820225,2.2123832742389737,26 days 21:41:00
33,1,GRID_BUY,CLOSED,2024-01-12 22:03:00+00:00,43000.0,43000.0,47000.0,44000.0,2024-02-07 20:16:00+00:00,106.96708851377154,3061.7769528089675,0.03493627725417316,3111.1658296187748,2.2688067738710345,25 days 22:13:00
34,1,GRID_BUY,CLOSED,2024-01-12 22:21:00+00:00,42000.0,42000.0,47000.0,43000.0,2024-01-13 05:42:00+00:00,106.96708851377154,3031.244072213765,0.03528818068274252,3064.1073072373033,2.3279171068188873,0 days 07:21:00
35,2,GRID_BUY,CLOSED,2024-01-14 21:38:00+00:00,42000.0,42000.0,42000.0,43000.0,2024-01-15 18:25:00+00:00,106.96708851377154,3033.5719893205837,0.03526110106842347,3066.435224344122,2.3279171068188873,0 days 20:47:00
36,2,GRID_BUY,CLOSED,2024-01-18 16:40:00+00:00,42000.0,42000.0,42000.0,43000.0,2024-01-29 16:21:00+00:00,106.96708851377154,3035.8999064274026,0.03523406298320575,3078.5214034152973,2.3279171068188873,10 days 23:41:00
37,2,GRID_BUY,CLOSED,2024-01-18 19:57:00+00:00,41000.0,41000.0,42000.0,42000.0,2024-01-19 20:09:00+00:00,106.96708851377154,3002.8227372268366,0.035622178821170664,3038.292316675381,2.389910870642254,1 days 00:12:00
38,2,GRID_BUY,CLOSED,2024-01-22 04:18:00+00:00,41000.0,41000.0,42000.0,42000.0,2024-01-26 17:01:00+00:00,106.96708851377154,3005.2126480974784,0.035593850099589326,3045.660667769095,2.389910870642254,4 days 12:43:00
39,2,GRID_BUY,CLOSED,2024-01-22 19:17:00+00:00,40000.0,40000.0,42000.0,41000.0,2024-01-26 11:29:00+00:00,106.96708851377154,2969.529134471906,0.03602156559841071,3010.1936528564975,2.4550043226567766,3 days 16:12:00
40,2,GRID_BUY,CLOSED,2024-01-23 09:29:00+00:00,39000.0,39000.0,42000.0,40000.0,2024-01-24 00:44:00+00:00,106.96708851377154,2931.1741178107022,0.036492915198659506,2972.0552034083466,2.523435900415649,0 days 15:15:00
41,2,GRID_BUY,CLOSED,2024-02-01 01:21:00+00:00,42000.0,42000.0,42000.0,43000.0,2024-02-01 17:19:00+00:00,106.96708851377154,3047.9860854985777,0.03509434935503463,3080.849320522116,2.3279171068188873,0 days 15:58:00
