Trade ID,Status,Buy Time,Buy Price,Sell Target,Sell Time,Capital Base at Buy (USDT),Base Order Size (USDT),BTC Allocation Before Buy,Alpha,Order Size (USDT),Portfolio Value at Buy,Order % of Portfolio,Portfolio Value at Sell,Net P&L,Holding Time
1,CLOSED,2024-01-01 18:09:00+00:00,43000.0,44000.0,2024-01-01 23:28:00+00:00,3000.0,33.70786516853933,0.0,1.0,33.70786516853933,3000.0,1.1235955056179776,3000.7494120721194,0.7149547948785013,0 days 05:19:00
2,CLOSED,2024-01-01 23:33:00+00:00,44000.0,45000.0,2024-01-02 00:57:00+00:00,3000.0,33.70786516853933,0.0,1.0,33.70786516853933,3000.7149547948784,1.1233277960866335,3001.4465686866047,0.6971744126659871,0 days 01:24:00
3,CLOSED,2024-01-02 00:58:00+00:00,45000.0,46000.0,2024-01-08 18:04:00+00:00,3000.0,33.70786516853933,0.0,1.0,33.70786516853933,3001.4121292075447,1.1230668671096207,3006.3748152709118,0.6801842696629166,6 days 17:06:00
4,CLOSED,2024-01-03 11:55:00+00:00,44000.0,45000.0,2024-01-08 12:03:00+00:00,3000.0,33.70786516853933,0.010972976183475347,0.990672970244046,33.393470907102675,3000.630106735635,1.1128819520987612,3005.6606189251843,0.6906718461739629,5 days 00:08:00
5,CLOSED,2024-01-03 12:01:00+00:00,43000.0,44000.0,2024-01-04 15:16:00+00:00,3000.0,33.70786516853933,0.021599691007048363,0.9816402626440089,33.088997617213785,2999.0902150798906,1.1033011761645972,3003.486104492084,0.7018284126231222,1 days 03:15:00
6,CLOSED,2024-01-03 12:08:00+00:00,42000.0,43000.0,2024-01-03 15:56:00+00:00,3000.0,33.70786516853933,0.03188756938683651,0.972895566021189,32.79423256251199,2996.7818858365154,1.0943149622435029,3000.530697628236,0.7136985408127714,0 days 03:48:00
7,CLOSED,2024-01-03 12:09:00+00:00,41000.0,42000.0,2024-01-03 12:15:00+00:00,3000.0,33.70786516853933,0.04184337537928332,0.9644331309276092,32.508981941380085,2993.693817112244,1.0859153917329687,2997.508691718583,0.7263315325742852,0 days 00:06:00
8,CLOSED,2024-01-03 18:56:00+00:00,42000.0,43000.0,2024-01-03 19:35:00+00:00,3000.0,33.70786516853933,0.03187225395650076,0.9729085841369743,32.79467137540363,2998.221915909902,1.0938040043460588,3001.244406167714,0.7137080906663797,0 days 00:39:00
9,CLOSED,2024-01-05 01:48:00+00:00,43000.0,44000.0,2024-01-05 09:01:00+00:00,3000.0,33.70786516853933,0.021579144548120575,0.9816577271340975,33.089586307890926,3001.9457816565664,1.1022712838481403,3004.187945992807,0.7018408989440488,0 days 07:13:00
10,CLOSED,2024-01-08 18:24:00+00:00,46000.0,47000.0,2024-01-08 19:11:00+00:00,3000.0,33.70786516853933,0.0,1.0,33.70786516853933,3006.3403927990016,1.1212258348814654,3007.0387318317325,0.6639328285295605,0 days 00:47:00
11,CLOSED,2024-01-08 19:12:00+00:00,47000.0,48000.0,2024-01-11 14:36:00+00:00,3000.0,33.70786516853933,0.0,1.0,33.70786516853933,3007.004325627531,1.1209782733353681,3012.331169019088,0.6483729380827157,2 days 19:24:00
12,CLOSED,2024-01-09 12:56:00+00:00,46000.0,47000.0,2024-01-09 13:53:00+00:00,3000.0,33.70786516853933,0.01096304047068489,0.9906814155999178,33.39375558201971,3006.254146330376,1.1108094644221027,3007.662449263877,0.6577459144309259,0 days 00:57:00
13,CLOSED,2024-01-09 21:17:00+00:00,46000.0,47000.0,2024-01-10 23:03:00+00:00,3000.0,33.70786516853933,0.010960642364143118,0.9906834539904783,33.39382429181388,3006.911892244807,1.1105687658471348,3010.991029136836,0.6577472677853251,1 days 01:46:00
14,CLOSED,2024-01-09 21:25:00+00:00,45000.0,46000.0,2024-01-09 21:29:00+00:00,3000.0,33.70786516853933,0.02158635249041386,0.9816516003831482,33.08937978819601,3005.436800239235,1.1009840494919765,3007.579993272025,0.667703976870051,0 days 00:04:00
15,CLOSED,2024-01-10 11:53:00+00:00,45000.0,46000.0,2024-01-10 17:41:00+00:00,3000.0,33.70786516853933,0.021581557815649972,0.9816556758566976,33.08951716370891,3006.104504216105,1.1007440731784401,3008.247700161256,0.667706748943047,0 days 05:48:00
16,CLOSED,2024-01-10 20:12:00+00:00,45000.0,46000.0,2024-01-10 20:15:00+00:00,3000.0,33.70786516853933,0.021576765250468723,0.9816597495371016,33.089654478778705,3006.772210965048,1.1005042004215646,3008.9154098212784,0.6677095197963823,0 days 00:03:00
17,CLOSED,2024-01-10 20:44:00+00:00,45000.0,46000.0,2024-01-10 20:57:00+00:00,3000.0,33.70786516853933,0.02157197479348702,0.981663821425536,33.08979173344503,3007.439920484844,1.100264431154803,3009.5831222508737,0.6677122894308383,0 days 00:13:00
18,CLOSED,2024-01-11 05:44:00+00:00,46000.0,47000.0,2024-01-11 11:17:00+00:00,3000.0,33.70786516853933,0.01094852261054268,0.9906937557810387,33.39417154318108,3010.2404720476325,1.1093522877415047,3011.6487835987637,0.6577541074822761,0 days 05:33:00
19,CLOSED,2024-01-11 15:05:00+00:00,48000.0,49000.0,2024-02-12 15:10:00+00:00,3000.0,33.70786516853933,0.0,1.0,33.70786516853933,3012.2967783903528,1.1190087713253614,3022.583988709221,0.6334613764044974,32 days 00:05:00
20,CLOSED,2024-01-11 15:42:00+00:00,47000.0,48000.0,2024-02-09 18:24:00+00:00,3000.0,33.70786516853933,0.01094867631940058,0.9906936251285096,33.394167139163244,3011.561525581364,1.1088655123098206,3021.270462100099,0.6423389364643839,29 days 02:42:00
21,CLOSED,2024-01-11 16:16:00+00:00,46000.0,47000.0,2024-02-09 11:44:00+00:00,3000.0,33.70786516853933,0.021567946160321663,0.9816672457637265,33.08990716057505,3010.116782790149,1.0992898132644284,3019.892888919738,0.6517611111547268,28 days 19:28:00
22,CLOSED,2024-01-12 15:19:00+00:00,45000.0,46000.0,2024-02-09 02:45:00+00:00,3000.0,33.70786516853933,0.03186514417017325,0.9729146274553527,32.794875082764705,3007.953717796882,1.0902719310051314,3017.796403960066,0.6617612253200917,27 days 11:26:00
23,CLOSED,2024-01-12 16:17:00+00:00,44000.0,45000.0,2024-02-08 13:58:00+00:00,3000.0,33.70786516853933,0.04184702346903229,0.9644300300513226,32.50887741746031,3005.062901608855,1.081803558922366,3014.9715971149467,0.6723759397584672,26 days 21:41:00
24,CLOSED,2024-01-12 22:03:00+00:00,43000.0,44000.0,2024-02-07 20:16:00+00:00,3000.0,33.70786516853933,0.05151976411654841,0.9562082005009338,32.2317370955371,3001.4342721334924,1.0738778255046044,3011.408424848066,0.683645637850276,25 days 22:13:00
25,CLOSED,2024-01-12 22:21:00+00:00,42000.0,43000.0,2024-01-13 05:42:00+00:00,3000.0,33.70786516853933,0.06088897843348833,0.9482443683315349,31.963293314546124,2997.0570940924417,1.0664893030416271,3002.130346865493,0.6956148693120916,0 days 07:21:00
